CZ_NAME,total_flood_minutes_2000_2005,total_flood_minutes_2018_2023,rate_change_percent
APPLING,240.0,2.0,-99.16666666666667
ATKINSON,241.0,241.0,0.0
BACON,610.0,0.0,-100.0
BAKER,3420.0,360.0,-89.47368421052632
BALDWIN,662.0,1037.0,56.646525679758305
BANKS,711.0,808.0,13.642756680731363
BARROW,3388.0,313.0,-90.76151121605666
BARTOW,3460.0,5023.0,45.17341040462428
BEN HILL,315.0,1066.0,238.4126984126984
BERRIEN,360.0,1089.0,202.5
BIBB,4851.0,548.0,-88.70336013193156
BLECKLEY,1304.0,0.0,-100.0
BRANTLEY,3269.0,1.0,-99.9694096053839
BROOKS,1035.0,581.0,-43.86473429951691
BRYAN,290.0,0.0,-100.0
BULLOCH,416.0,60.0,-85.57692307692307
BURKE,103.0,4138.0,3917.4757281553398
BUTTS,1529.0,420.0,-72.5310660562459
CALHOUN,210.0,866.0,312.3809523809524
CAMDEN,597.0,0.0,-100.0
CANDLER,617.0,120.0,-80.55105348460292
CARROLL,3063.0,1050.0,-65.71988246816846
CATOOSA,733.0,1082.0,47.61255115961801
CHARLTON,1321.0,3.0,-99.77289931869797
CHATHAM,522.0,15.0,-97.12643678160919
CHATTAHOOCHEE,1080.0,0.0,-100.0
CHATTOOGA,1140.0,12212.0,971.2280701754386
CHEROKEE,4797.0,327.0,-93.18323952470294
CLARKE,477.0,210.0,-55.9748427672956
CLAYTON,3172.0,2160.0,-31.904161412358135
CLINCH,235.0,1.0,-99.57446808510639
COASTAL CAMDEN,959.0,7440.0,675.8081334723671
COASTAL GLYNN,959.0,11175.0,1065.2763295099062
COBB,6442.0,2037.0,-68.37938528407327
COFFEE,311.0,1.0,-99.67845659163987
COLQUITT,973.0,266.0,-72.66187050359713
COLUMBIA,1073.0,235.0,-78.09878844361603
COOK,90.0,30.0,-66.66666666666666
COWETA,3704.0,1435.0,-61.25809935205183
CRAWFORD,847.0,1010.0,19.244391971664697
CRISP,3554.0,1572.0,-55.76814856499719
DADE,1980.0,3932.0,98.58585858585859
DAWSON,601.0,1266.0,110.64891846921796
DE KALB,6544.0,1722.0,-73.68581907090464
DECATUR,420.0,897.0,113.57142857142857
DODGE,1485.0,1526.0,2.760942760942761
DOOLY,3587.0,240.0,-93.30917201003625
DOUGHERTY,1.0,2613.0,261200.0
DOUGLAS,3222.0,1369.0,-57.51086281812539
EARLY,410.0,259.0,-36.829268292682926
ECHOLS,295.0,1440.0,388.135593220339
EFFINGHAM,105.0,0.0,-100.0
ELBERT,1450.0,3360.0,131.72413793103448
EMANUEL,107.0,105.0,-1.8691588785046727
EVANS,223.0,60.0,-73.09417040358744
FANNIN,1298.0,1908.0,46.99537750385208
FAYETTE,3669.0,660.0,-82.01144726083402
FLOYD,1222.0,4665.0,281.7512274959083
FORSYTH,1016.0,1035.0,1.8700787401574805
FRANKLIN,1500.0,1140.0,-24.0
FULTON,5080.0,12398.0,144.0551181102362
GILMER,1648.0,1045.0,-36.58980582524271
GLYNN,1.0,242.0,24100.0
GORDON,4355.0,1210.0,-72.2158438576349
GRADY,375.0,330.0,-12.0
GREENE,756.0,378.0,-50.0
GWINNETT,1972.0,1117.0,-43.35699797160243
HABERSHAM,3320.0,4475.0,34.78915662650602
HALL,411.0,2656.0,546.2287104622872
HANCOCK,1.0,626.0,62500.0
HARALSON,3041.0,0.0,-100.0
HARRIS,2521.0,2339.0,-7.219357397857992
HART,990.0,870.0,-12.121212121212121
HEARD,1255.0,0.0,-100.0
HENRY,2373.0,267.0,-88.74841972187106
HOUSTON,2685.0,1304.0,-51.4338919925512
INLAND CAMDEN,960.0,0.0,-100.0
INLAND GLYNN,959.0,0.0,-100.0
IRWIN,255.0,5910.0,2217.6470588235293
JACKSON,856.0,1472.0,71.96261682242991
JASPER,98.0,663.0,576.530612244898
JEFF DAVIS,280.0,2.0,-99.28571428571429
JENKINS,170.0,0.0,-100.0
JOHNSON,106.0,0.0,-100.0
JONES,1863.0,1510.0,-18.947933440687066
LAMAR,1353.0,480.0,-64.52328159645234
